scenario,frame,time_h,max_depth_m,active_power,flooded_power,repairing_power,restored_power,failed_comm
main,0,0.0,0.0,15,0,0,0,0
main,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
main,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
main,3,1.0,2.8393704908961883,15,0,0,0,0
main,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
main,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
main,6,2.0,6.809066560593192,14,0,1,0,0
main,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
main,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
main,9,3.0,10.710692792491676,12,1,1,1,0
main,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
main,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
main,12,4.0,13.600657541572652,12,1,0,2,0
main,13,4.333333333333333,14.367053125428473,12,1,0,2,0
main,14,4.666666666666667,14.725925148895985,12,1,0,2,0
main,15,5.0,15.187384909291842,12,1,0,2,0
main,16,5.333333333333333,15.633975105421476,12,1,0,2,0
main,17,5.666666666666667,16.09980188677001,12,1,0,2,0
main,18,6.0,16.397703126944876,12,1,0,2,0
main,19,6.333333333333333,16.539397469294453,12,1,0,2,0
main,20,6.666666666666667,16.59354653617889,12,1,0,2,1
main,21,7.0,16.584251591303744,12,1,0,2,1
main,22,7.333333333333333,16.530942447679656,12,1,0,2,1
main,23,7.666666666666667,16.39419439337888,12,1,0,2,1
baseline1_static_flood,0,0.0,0.0,15,0,0,0,0
baseline1_static_flood,1,0.3333333333333333,0.004192287514973344,15,0,0,0,0
baseline1_static_flood,2,0.6666666666666666,0.012838912431972604,15,0,0,0,0
baseline1_static_flood,3,1.0,0.025772347971945924,15,0,0,0,0
baseline1_static_flood,4,1.3333333333333333,0.04274521218489181,15,0,0,0,0
baseline1_static_flood,5,1.6666666666666667,0.06343487620752519,15,0,0,0,0
baseline1_static_flood,6,2.0,0.0874494742285612,15,0,0,0,0
baseline1_static_flood,7,2.3333333333333335,0.11433520320734114,15,0,0,0,0
baseline1_static_flood,8,2.6666666666666665,0.14358477636585348,15,0,0,0,0
baseline1_static_flood,9,3.0,0.1746468729815795,15,0,0,0,0
baseline1_static_flood,10,3.3333333333333335,0.2069364084494238,15,0,0,0,0
baseline1_static_flood,11,3.6666666666666665,0.23984543330087565,15,0,0,0,0
baseline1_static_flood,12,4.0,0.2727544581523252,15,0,0,0,0
baseline1_static_flood,13,4.333333333333333,0.3050439936201628,15,0,0,0,0
baseline1_static_flood,14,4.666666666666667,0.33610609023588883,15,0,0,0,0
baseline1_static_flood,15,5.0,0.36535566339439846,15,0,0,0,0
baseline1_static_flood,16,5.333333333333333,0.39224139237317673,15,0,0,0,0
baseline1_static_flood,17,5.666666666666667,0.41625599039421274,15,0,0,0,0
baseline1_static_flood,18,6.0,0.43694565441684113,15,0,0,0,0
baseline1_static_flood,19,6.333333333333333,0.45391851862978855,15,0,0,0,0
baseline1_static_flood,20,6.666666666666667,0.4668519541697565,15,0,0,0,0
baseline1_static_flood,21,7.0,0.47549857908675347,15,0,0,0,0
baseline1_static_flood,22,7.333333333333333,0.4796908666017237,15,0,0,0,0
baseline1_static_flood,23,7.666666666666667,0.4793442658134868,15,0,0,0,0
baseline2_no_restoration,0,0.0,0.0,15,0,0,0,0
baseline2_no_restoration,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
baseline2_no_restoration,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
baseline2_no_restoration,3,1.0,2.8393704908961883,15,0,0,0,0
baseline2_no_restoration,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
baseline2_no_restoration,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
baseline2_no_restoration,6,2.0,6.809066560593192,14,1,0,0,0
baseline2_no_restoration,7,2.3333333333333335,7.983973577931119,12,3,0,0,0
baseline2_no_restoration,8,2.6666666666666665,9.53023349066226,12,3,0,0,0
baseline2_no_restoration,9,3.0,10.710692792491676,12,3,0,0,0
baseline2_no_restoration,10,3.3333333333333335,11.724966053628586,12,3,0,0,0
baseline2_no_restoration,11,3.6666666666666665,12.636565722045923,12,3,0,0,0
baseline2_no_restoration,12,4.0,13.600657541572652,12,3,0,0,0
baseline2_no_restoration,13,4.333333333333333,14.367053125428473,12,3,0,0,0
baseline2_no_restoration,14,4.666666666666667,14.725925148895985,12,3,0,0,0
baseline2_no_restoration,15,5.0,15.187384909291842,12,3,0,0,0
baseline2_no_restoration,16,5.333333333333333,15.633975105421476,12,3,0,0,0
baseline2_no_restoration,17,5.666666666666667,16.09980188677001,12,3,0,0,3
baseline2_no_restoration,18,6.0,16.397703126944876,12,3,0,0,4
baseline2_no_restoration,19,6.333333333333333,16.539397469294453,12,3,0,0,5
baseline2_no_restoration,20,6.666666666666667,16.59354653617889,12,3,0,0,8
baseline2_no_restoration,21,7.0,16.584251591303744,12,3,0,0,10
baseline2_no_restoration,22,7.333333333333333,16.530942447679656,12,3,0,0,10
baseline2_no_restoration,23,7.666666666666667,16.39419439337888,12,3,0,0,10
