scenario,frame,time_h,max_depth_m,active_power,flooded_power,repairing_power,restored_power,failed_comm
rain_0.7,0,0.0,0.0,15,0,0,0,0
rain_0.7,1,0.3333333333333333,0.31956408475327275,15,0,0,0,0
rain_0.7,2,0.6666666666666666,1.0437505924442152,15,0,0,0,0
rain_0.7,3,1.0,2.276563092243311,15,0,0,0,0
rain_0.7,4,1.3333333333333333,3.3577304081272334,15,0,0,0,0
rain_0.7,5,1.6666666666666667,4.731732535100074,15,0,0,0,0
rain_0.7,6,2.0,6.195917875670828,15,0,0,0,0
rain_0.7,7,2.3333333333333335,6.648101348098618,15,0,0,0,0
rain_0.7,8,2.6666666666666665,7.491865485774597,12,1,2,0,0
rain_0.7,9,3.0,8.694005037033179,12,1,2,0,0
rain_0.7,10,3.3333333333333335,9.908584684471807,12,1,2,0,0
rain_0.7,11,3.6666666666666665,10.701122733152499,12,1,0,2,0
rain_0.7,12,4.0,11.472701295876918,12,1,0,2,0
rain_0.7,13,4.333333333333333,11.362518267623907,12,1,0,2,0
rain_0.7,14,4.666666666666667,14.094224445384073,12,1,0,2,0
rain_0.7,15,5.0,12.980556665217875,12,1,0,2,0
rain_0.7,16,5.333333333333333,13.45987348955009,12,1,0,2,0
rain_0.7,17,5.666666666666667,13.988249253928934,12,1,0,2,0
rain_0.7,18,6.0,14.468526412866218,12,1,0,2,0
rain_0.7,19,6.333333333333333,14.685389267664323,12,1,0,2,0
rain_0.7,20,6.666666666666667,14.859385447536468,12,1,0,2,0
rain_0.7,21,7.0,15.010828898672473,12,1,0,2,1
rain_0.7,22,7.333333333333333,15.102020500020334,12,1,0,2,1
rain_0.7,23,7.666666666666667,15.144345121977484,12,1,0,2,1
rain_1.0,0,0.0,0.0,15,0,0,0,0
rain_1.0,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
rain_1.0,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
rain_1.0,3,1.0,2.8393704908961883,15,0,0,0,0
rain_1.0,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
rain_1.0,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
rain_1.0,6,2.0,6.809066560593192,14,0,1,0,0
rain_1.0,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
rain_1.0,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
rain_1.0,9,3.0,10.710692792491676,12,1,1,1,0
rain_1.0,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
rain_1.0,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
rain_1.0,12,4.0,13.600657541572652,12,1,0,2,0
rain_1.0,13,4.333333333333333,14.367053125428473,12,1,0,2,0
rain_1.0,14,4.666666666666667,14.725925148895985,12,1,0,2,0
rain_1.0,15,5.0,15.187384909291842,12,1,0,2,0
rain_1.0,16,5.333333333333333,15.633975105421476,12,1,0,2,0
rain_1.0,17,5.666666666666667,16.09980188677001,12,1,0,2,0
rain_1.0,18,6.0,16.397703126944876,12,1,0,2,0
rain_1.0,19,6.333333333333333,16.539397469294453,12,1,0,2,0
rain_1.0,20,6.666666666666667,16.59354653617889,12,1,0,2,1
rain_1.0,21,7.0,16.584251591303744,12,1,0,2,1
rain_1.0,22,7.333333333333333,16.530942447679656,12,1,0,2,1
rain_1.0,23,7.666666666666667,16.39419439337888,12,1,0,2,1
rain_1.3,0,0.0,0.0,15,0,0,0,0
rain_1.3,1,0.3333333333333333,0.5097795388507572,15,0,0,0,0
rain_1.3,2,0.6666666666666666,1.6728746133834314,15,0,0,0,0
rain_1.3,3,1.0,3.5063459741566043,15,0,0,0,0
rain_1.3,4,1.3333333333333333,5.537868010635018,15,0,0,0,0
rain_1.3,5,1.6666666666666667,6.870375285280043,14,0,1,0,0
rain_1.3,6,2.0,7.7339178422185535,13,0,2,0,0
rain_1.3,7,2.3333333333333335,9.527920619872358,12,1,2,0,0
rain_1.3,8,2.6666666666666665,10.913759151848891,12,1,1,1,0
rain_1.3,9,3.0,11.760014563525228,12,1,0,2,0
rain_1.3,10,3.3333333333333335,12.241640016284391,12,1,0,2,0
rain_1.3,11,3.6666666666666665,13.167983831662402,12,1,0,2,0
rain_1.3,12,4.0,13.99414456725498,12,1,0,2,0
rain_1.3,13,4.333333333333333,14.85811792749819,12,1,0,2,0
rain_1.3,14,4.666666666666667,15.560109229141414,12,1,0,2,0
rain_1.3,15,5.0,16.097499211272982,12,1,0,2,0
rain_1.3,16,5.333333333333333,16.415465629440256,12,1,0,2,0
rain_1.3,17,5.666666666666667,16.48503152417357,12,1,0,2,0
rain_1.3,18,6.0,16.68167760902664,12,1,0,2,0
rain_1.3,19,6.333333333333333,16.655526160348078,12,1,0,2,0
rain_1.3,20,6.666666666666667,18.45127198486038,12,1,0,2,1
rain_1.3,21,7.0,19.90825755609667,12,1,0,2,1
rain_1.3,22,7.333333333333333,17.04161882843236,12,1,0,2,1
rain_1.3,23,7.666666666666667,16.940710579716683,12,1,0,2,1
drain_0.5,0,0.0,0.0,15,0,0,0,0
drain_0.5,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
drain_0.5,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
drain_0.5,3,1.0,2.8393704908961883,15,0,0,0,0
drain_0.5,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
drain_0.5,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
drain_0.5,6,2.0,6.809066560593192,14,0,1,0,0
drain_0.5,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
drain_0.5,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
drain_0.5,9,3.0,10.710692792491676,12,1,1,1,0
drain_0.5,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
drain_0.5,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
drain_0.5,12,4.0,13.600657541572652,12,1,0,2,0
drain_0.5,13,4.333333333333333,14.367053125428473,12,1,0,2,0
drain_0.5,14,4.666666666666667,14.725925148895985,12,1,0,2,0
drain_0.5,15,5.0,15.187384909291842,12,1,0,2,0
drain_0.5,16,5.333333333333333,15.633975105421476,12,1,0,2,0
drain_0.5,17,5.666666666666667,16.09980188677001,12,1,0,2,0
drain_0.5,18,6.0,16.397703126944876,12,1,0,2,0
drain_0.5,19,6.333333333333333,16.539397469294453,12,1,0,2,0
drain_0.5,20,6.666666666666667,16.59354653617889,12,1,0,2,1
drain_0.5,21,7.0,16.584251591303744,12,1,0,2,1
drain_0.5,22,7.333333333333333,16.530942447679656,12,1,0,2,1
drain_0.5,23,7.666666666666667,16.39419439337888,12,1,0,2,1
drain_1.0,0,0.0,0.0,15,0,0,0,0
drain_1.0,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
drain_1.0,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
drain_1.0,3,1.0,2.8393704908961883,15,0,0,0,0
drain_1.0,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
drain_1.0,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
drain_1.0,6,2.0,6.809066560593192,14,0,1,0,0
drain_1.0,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
drain_1.0,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
drain_1.0,9,3.0,10.710692792491676,12,1,1,1,0
drain_1.0,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
drain_1.0,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
drain_1.0,12,4.0,13.600657541572652,12,1,0,2,0
drain_1.0,13,4.333333333333333,14.367053125428473,12,1,0,2,0
drain_1.0,14,4.666666666666667,14.725925148895985,12,1,0,2,0
drain_1.0,15,5.0,15.187384909291842,12,1,0,2,0
drain_1.0,16,5.333333333333333,15.633975105421476,12,1,0,2,0
drain_1.0,17,5.666666666666667,16.09980188677001,12,1,0,2,0
drain_1.0,18,6.0,16.397703126944876,12,1,0,2,0
drain_1.0,19,6.333333333333333,16.539397469294453,12,1,0,2,0
drain_1.0,20,6.666666666666667,16.59354653617889,12,1,0,2,1
drain_1.0,21,7.0,16.584251591303744,12,1,0,2,1
drain_1.0,22,7.333333333333333,16.530942447679656,12,1,0,2,1
drain_1.0,23,7.666666666666667,16.39419439337888,12,1,0,2,1
drain_2.0,0,0.0,0.0,15,0,0,0,0
drain_2.0,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
drain_2.0,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
drain_2.0,3,1.0,2.8393704908961883,15,0,0,0,0
drain_2.0,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
drain_2.0,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
drain_2.0,6,2.0,6.809066560593192,14,0,1,0,0
drain_2.0,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
drain_2.0,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
drain_2.0,9,3.0,10.710692792491676,12,1,1,1,0
drain_2.0,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
drain_2.0,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
drain_2.0,12,4.0,13.600657541572652,12,1,0,2,0
drain_2.0,13,4.333333333333333,14.367053125428473,12,1,0,2,0
drain_2.0,14,4.666666666666667,14.725925148895985,12,1,0,2,0
drain_2.0,15,5.0,15.187384909291842,12,1,0,2,0
drain_2.0,16,5.333333333333333,15.633975105421476,12,1,0,2,0
drain_2.0,17,5.666666666666667,16.09980188677001,12,1,0,2,0
drain_2.0,18,6.0,16.397703126944876,12,1,0,2,0
drain_2.0,19,6.333333333333333,16.539397469294453,12,1,0,2,0
drain_2.0,20,6.666666666666667,16.59354653617889,12,1,0,2,1
drain_2.0,21,7.0,16.584251591303744,12,1,0,2,1
drain_2.0,22,7.333333333333333,16.530942447679656,12,1,0,2,1
drain_2.0,23,7.666666666666667,16.39419439337888,12,1,0,2,1
battery_1.5-2.5,0,0.0,0.0,15,0,0,0,0
battery_1.5-2.5,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
battery_1.5-2.5,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
battery_1.5-2.5,3,1.0,2.8393704908961883,15,0,0,0,0
battery_1.5-2.5,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
battery_1.5-2.5,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
battery_1.5-2.5,6,2.0,6.809066560593192,14,0,1,0,0
battery_1.5-2.5,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
battery_1.5-2.5,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
battery_1.5-2.5,9,3.0,10.710692792491676,12,1,1,1,0
battery_1.5-2.5,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
battery_1.5-2.5,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
battery_1.5-2.5,12,4.0,13.600657541572652,12,1,0,2,0
battery_1.5-2.5,13,4.333333333333333,14.367053125428473,12,1,0,2,1
battery_1.5-2.5,14,4.666666666666667,14.725925148895985,12,1,0,2,1
battery_1.5-2.5,15,5.0,15.187384909291842,12,1,0,2,1
battery_1.5-2.5,16,5.333333333333333,15.633975105421476,12,1,0,2,1
battery_1.5-2.5,17,5.666666666666667,16.09980188677001,12,1,0,2,1
battery_1.5-2.5,18,6.0,16.397703126944876,12,1,0,2,1
battery_1.5-2.5,19,6.333333333333333,16.539397469294453,12,1,0,2,1
battery_1.5-2.5,20,6.666666666666667,16.59354653617889,12,1,0,2,1
battery_1.5-2.5,21,7.0,16.584251591303744,12,1,0,2,1
battery_1.5-2.5,22,7.333333333333333,16.530942447679656,12,1,0,2,1
battery_1.5-2.5,23,7.666666666666667,16.39419439337888,12,1,0,2,1
battery_3.0-5.0,0,0.0,0.0,15,0,0,0,0
battery_3.0-5.0,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
battery_3.0-5.0,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
battery_3.0-5.0,3,1.0,2.8393704908961883,15,0,0,0,0
battery_3.0-5.0,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
battery_3.0-5.0,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
battery_3.0-5.0,6,2.0,6.809066560593192,14,0,1,0,0
battery_3.0-5.0,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
battery_3.0-5.0,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
battery_3.0-5.0,9,3.0,10.710692792491676,12,1,1,1,0
battery_3.0-5.0,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
battery_3.0-5.0,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
battery_3.0-5.0,12,4.0,13.600657541572652,12,1,0,2,0
battery_3.0-5.0,13,4.333333333333333,14.367053125428473,12,1,0,2,0
battery_3.0-5.0,14,4.666666666666667,14.725925148895985,12,1,0,2,0
battery_3.0-5.0,15,5.0,15.187384909291842,12,1,0,2,0
battery_3.0-5.0,16,5.333333333333333,15.633975105421476,12,1,0,2,0
battery_3.0-5.0,17,5.666666666666667,16.09980188677001,12,1,0,2,0
battery_3.0-5.0,18,6.0,16.397703126944876,12,1,0,2,0
battery_3.0-5.0,19,6.333333333333333,16.539397469294453,12,1,0,2,0
battery_3.0-5.0,20,6.666666666666667,16.59354653617889,12,1,0,2,1
battery_3.0-5.0,21,7.0,16.584251591303744,12,1,0,2,1
battery_3.0-5.0,22,7.333333333333333,16.530942447679656,12,1,0,2,1
