scenario,peak_depth_m,max_flooded_power,restored_power_final,max_failed_comm,final_phi,min_phi,resilience_auc,recovery_time_h
rain_0.7,15.144345121977484,1,2,1,0.975,0.975,0.997282608695652,0.0
rain_1.0,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
rain_1.3,19.90825755609667,1,2,1,0.975,0.975,0.9961956521739128,0.0
drain_0.5,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
drain_1.0,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
drain_2.0,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
battery_1.5-2.5,16.59354653617889,1,2,1,0.975,0.975,0.9885869565217388,0.0
battery_3.0-5.0,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
battery_6.0-8.0,16.59354653617889,1,2,0,1.0,1.0,0.9999999999999999,0.0
fleets_1,16.59354653617889,2,2,1,0.975,0.975,0.9961956521739128,0.0
fleets_2,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
fleets_4,16.59354653617889,1,2,1,0.975,0.975,0.9961956521739128,0.0
